police_station,junction_name,grid_lat,grid_lon,hour_sin,hour_cos,day_sin,day_cos,police_station_freq,junction_name_freq,vehicle_mass_impact,prev_hour_impact,prev_2hour_impact,predicted_impact,actual_impact
Cubbon Park,No Junction,12.9743,77.6076,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.010218647726481444,0.5119768818327415,1.0,1.2,0.0,1.3471478,1.0
Upparpet,BTP044 - Sagar Theatre Junction,12.9762,77.5795,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.03302346633242811,1.0,2.4,1.0,1.3073595,1.2
Shivajinagar,BTP211 - Central Street Junction,12.9802,77.6027,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.08265441125269828,0.01808718055845693,0.5,1.2,0.0,1.1500834,1.2
Upparpet,BTP040 - Elite Junction,12.9774,77.5773,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.028967342107095607,2.0,1.2,0.0,1.230544,1.0
Upparpet,BTP044 - Sagar Theatre Junction,12.9734,77.5792,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.03302346633242811,2.0,3.5999999999999996,4.8,1.9572468,1.2
Malleshwaram,No Junction,13.0078,77.5711,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.08923473295731495,0.5119768818327415,4.0,2.4,1.2,2.4647405,2.4
Mahadevapura,No Junction,12.996,77.668,0.9659258262890683,0.25881904510252074,0.0,1.0,0.021986630457489033,0.5119768818327415,3.0,0.0,0.0,3.854044,5.0
K.G. Halli,No Junction,13.0421,77.6131,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.0028375461318849663,0.5119768818327415,1.0,0.0,0.0,1.2116525,1.2
Vijayanagara,No Junction,12.9679,77.5415,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.048238284242044425,0.5119768818327415,1.0,0.0,0.0,1.464462,1.2
Ashok Nagar,No Junction,12.9722,77.6072,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.008773762272822228,0.5119768818327415,1.0,0.0,0.0,1.4064842,2.5
Electronic City,No Junction,12.8418,77.6459,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.015893739990251374,0.5119768818327415,1.5,4.8,3.5999999999999996,2.5433183,2.4
Kodigehalli,No Junction,13.0711,77.5875,1.0,6.123233995736766e-17,0.0,1.0,0.031578580878768886,0.5119768818327415,2.0,0.0,0.0,1.5836575,1.2
Vijayanagara,BTP020 - Hosahalli Metro Station,12.9745,77.5449,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.048238284242044425,0.008547454912610542,0.5,2.4,3.5999999999999996,1.1991637,1.2
Upparpet,BTP044 - Sagar Theatre Junction,12.9738,77.5783,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.03302346633242811,14.0,3.0,0.0,7.8972216,7.800000000000002
Magadi Road,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",12.9807,77.5513,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.026460552886289256,0.0017756423647378315,2.0,0.0,0.0,1.4064355,1.2
Halasuru Gate,"BTP080 - NR Road, SP Road Junction",12.964,77.5835,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.025520506928486873,0.014762203189192953,1.0,1.2,2.4,1.2092787,1.2
Jalahalli,No Junction,13.0568,77.5472,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.004874312373790126,0.5119768818327415,0.5,0.0,0.0,1.026676,1.0
Bellandur,No Junction,12.9257,77.6761,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.01704268504978762,0.5119768818327415,0.5,1.0,0.0,1.00484,1.0
Electronic City,No Junction,12.8705,77.6573,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.015893739990251374,0.5119768818327415,2.0,0.0,0.0,1.4295702,1.2
HAL Old Airport,No Junction,12.9567,77.7025,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.2163618,1.0
No Police Station,No Junction,13.0586,77.4664,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0014622937121370379,0.5119768818327415,1.0,0.0,0.0,1.1196338,1.2
Chikkajala,No Junction,13.1914,77.6465,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0190968595501706,0.5119768818327415,2.0,7.5,10.0,1.1864557,1.0
Jnanabharathi,No Junction,12.9717,77.5077,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.003568692987953485,0.5119768818327415,0.5,2.5,0.0,2.4094563,1.0
Adugodi,No Junction,12.9377,77.6188,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.0157544739224288,0.5119768818327415,2.0,0.0,0.0,1.3620951,1.0
Yeshwanthpura,No Junction,13.0303,77.5369,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.008181881484576284,0.5119768818327415,0.5,1.2,1.2,1.3260899,1.2
Chikkajala,No Junction,13.1847,77.6796,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0190968595501706,0.5119768818327415,2.0,0.0,0.0,1.4519739,2.5
Malleshwaram,No Junction,13.0117,77.5543,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.5119768818327415,1.0,1.2,0.0,1.1878614,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.9797,77.6072,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.08265441125269828,0.04388621962258896,2.0,3.4,4.8,1.4394331,3.599999999999999
Malleshwaram,No Junction,13.0108,77.5546,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.08923473295731495,0.5119768818327415,1.0,2.0,1.2,1.2296301,1.0
Shivajinagar,BTP051 - Safina Plaza Junction,12.981,77.6099,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.08265441125269828,0.04388621962258896,1.0,1.2,0.0,1.343841,1.0
Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,13.0078,77.5483,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.03814149432490774,0.007050344683517861,0.5,0.0,0.0,1.2290548,1.0
Cubbon Park,No Junction,12.9764,77.5992,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.010218647726481444,0.5119768818327415,1.0,1.0,0.0,1.2531645,1.0
HAL Old Airport,No Junction,12.9318,77.6852,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.1781018,1.0
Upparpet,BTP044 - Sagar Theatre Junction,12.9743,77.5782,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.1027261332776269,0.03302346633242811,1.0,1.0,1.0,1.2817185,1.2
Rajajinagar,"BTP170 - Dr. Bheem Rao Palace, Chord Road",12.9919,77.5526,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.03814149432490774,0.002611238771673282,2.0,1.2,0.0,1.2640355,1.2
Upparpet,BTP040 - Elite Junction,12.9759,77.5757,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.028967342107095607,0.5,1.2,0.0,1.1634332,1.2
High ground,BTP032 - Windsor Circle,12.9915,77.5886,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.00964417519671332,0.0032379360768748696,2.5,0.0,0.0,3.7834764,4.8
City Market,No Junction,12.9697,77.5757,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.06268713877863659,0.5119768818327415,1.0,3.0,1.0,1.1882479,1.2
HAL Old Airport,No Junction,12.9317,77.6848,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.1503527,1.0
Upparpet,BTP058 - Subbanna Junction,12.9791,77.5785,0.8660254037844386,0.5000000000000001,0.0,1.0,0.1027261332776269,0.017965322749112177,1.0,1.2,0.0,1.2016916,1.2
City Market,BTP082 - KR Market Junction,12.9637,77.5768,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.06268713877863659,0.03944711371074438,0.5,6.0,0.0,1.3122562,1.2
City Market,BTP082 - KR Market Junction,12.9639,77.5768,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.03944711371074438,0.5,0.0,0.0,1.243687,1.2
Electronic City,No Junction,12.8418,77.6467,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.015893739990251374,0.5119768818327415,2.0,1.2,1.2,1.4125564,1.0
Upparpet,BTP057 - Anand Rao Junction,12.9785,77.5752,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.013317317735533737,2.0,1.2,1.0,1.3108828,1.2
Cubbon Park,BTP051 - Safina Plaza Junction,12.9756,77.6058,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.010218647726481444,0.04388621962258896,2.0,0.0,0.0,1.1995771,1.0
Mahadevapura,No Junction,12.996,77.668,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.021986630457489033,0.5119768818327415,1.0,2.5,2.5,2.1485503,1.0
R.T. Nagar,No Junction,13.0219,77.6006,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.004508738945755867,0.5119768818327415,0.5,0.0,0.0,1.1160532,1.2
City Market,No Junction,12.9698,77.5757,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.06268713877863659,0.5119768818327415,1.0,1.0,1.2,1.2060468,1.0
HAL Old Airport,No Junction,12.9332,77.6907,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.063818675579695,0.5119768818327415,3.0,3.2,0.0,4.258315,5.6
Cubbon Park,No Junction,12.9748,77.6059,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.010218647726481444,0.5119768818327415,1.0,1.0,0.0,1.1299733,1.0
Yelahanka,No Junction,13.0975,77.599,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.006597729963094492,0.5119768818327415,4.0,1.8,1.0,2.5305839,2.4
Cubbon Park,BTP037 - KR Circle,12.9768,77.5886,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.010218647726481444,0.0007311468560685189,2.0,1.0,0.0,1.0772115,1.0
Malleshwaram,No Junction,13.0111,77.5546,1.0,6.123233995736766e-17,0.0,1.0,0.08923473295731495,0.5119768818327415,0.5,1.0,1.0,1.1368712,1.2
K.R. Pura,No Junction,13.0036,77.7235,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.024632685746117957,0.5119768818327415,2.0,2.5,2.5,3.4355028,2.5
Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.0081,77.5545,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.00981825778149154,2.0,1.0,2.0,1.0698915,1.0
HAL Old Airport,No Junction,12.9338,77.6909,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,0.5,3.5999999999999996,7.5,1.204213,1.2
Vijayanagara,BTP027 - Modi Bridge Junction,12.9975,77.5497,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.048238284242044425,0.01305619385836641,0.5,1.2,3.5999999999999996,1.1231109,1.2
Upparpet,BTP058 - Subbanna Junction,12.978,77.5772,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.017965322749112177,2.0,1.0,2.2,1.0905774,1.2
V.V.Puram (C.Pet),BTP107 - National College Junction,12.9507,77.5722,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.007711858505675092,0.0005222477543346564,1.0,0.0,0.0,1.4030471,1.0
City Market,BTP118 - Basappa Circle,12.9588,77.578,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.06268713877863659,0.00231529837755031,1.0,0.0,0.0,1.2342768,2.4
Chamarajpet,"BTP083 - AS Char Street, Mysore Road",12.9664,77.5739,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.013299909477055916,0.011924657057307986,1.0,0.0,0.0,1.2005364,1.2
Kodigehalli,No Junction,13.0709,77.5879,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.031578580878768886,0.5119768818327415,1.5,0.0,0.0,2.636797,3.599999999999999
HAL Old Airport,No Junction,12.9717,77.7118,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.063818675579695,0.5119768818327415,2.0,2.0,0.0,1.4401555,1.0
Banaswadi,No Junction,12.9878,77.6637,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.012795069981199081,0.5119768818327415,2.0,0.0,0.0,1.3903178,1.2
Malleshwaram,No Junction,13.0055,77.5688,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.08923473295731495,0.5119768818327415,2.0,2.0,1.0,1.2608004,1.9999999999999996
Upparpet,BTP058 - Subbanna Junction,12.978,77.5784,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.1027261332776269,0.017965322749112177,4.0,1.0,1.2,2.1688926,2.2
Vijayanagara,"BTP024 - NPS, Vijayanagar",12.9844,77.5489,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.048238284242044425,0.002576422254717638,2.0,0.0,0.0,1.2268419,1.5
Yelahanka,No Junction,13.0943,77.595,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.006597729963094492,0.5119768818327415,1.5,0.0,0.0,2.6587062,2.4
Rajajinagar,BTP027 - Modi Bridge Junction,12.9997,77.5497,0.9659258262890683,0.25881904510252074,0.0,1.0,0.03814149432490774,0.01305619385836641,2.0,2.0,3.0,1.6391101,1.2
City Market,BTP082 - KR Market Junction,12.9649,77.5754,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.06268713877863659,0.03944711371074438,3.0,2.2,2.4,2.5653877,3.7
Basavanagudi,BTP108 - Tagore Park Junction,12.9445,77.5711,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.018417937469535548,0.008843395306733514,0.5,0.0,0.0,1.2461379,1.2
K.R. Pura,No Junction,13.0035,77.7235,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.024632685746117957,0.5119768818327415,3.0,5.0,2.5,7.089677,7.5
Vijayanagara,"BTP022 - Marenahalli Junction, Vijayanagar",12.9673,77.5364,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.048238284242044425,0.003586101246431307,2.0,0.0,0.0,1.2758282,1.2
HAL Old Airport,No Junction,12.9635,77.7177,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.2688999,1.2
HSR Layout,No Junction,12.9065,77.6305,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.01568484088851751,0.5119768818327415,1.0,6.0,0.0,1.2389967,1.2
City Market,BTP082 - KR Market Junction,12.9645,77.5767,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.06268713877863659,0.03944711371074438,2.0,2.4,1.2,1.8048043,2.5
Jeevanbheemanagar,No Junction,12.9694,77.6478,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.021464382703154376,0.5119768818327415,2.0,0.0,0.0,1.5062102,2.5
Upparpet,BTP045 - Danvanthri Road Junction,12.9779,77.574,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.008477821878699256,1.0,1.2,1.2,1.2046735,1.2
Upparpet,BTP058 - Subbanna Junction,12.9785,77.5788,0.8660254037844386,0.5000000000000001,0.0,1.0,0.1027261332776269,0.017965322749112177,2.0,0.0,0.0,1.1074007,1.0
City Market,BTP118 - Basappa Circle,12.9573,77.5775,0.9659258262890683,0.25881904510252074,0.0,1.0,0.06268713877863659,0.00231529837755031,1.5,4.8,0.0,2.4997895,3.0
Chikkajala,No Junction,13.1222,77.6307,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.0190968595501706,0.5119768818327415,0.5,0.0,0.0,2.359294,2.5
Malleshwaram,BTP023 - Mahalaxmi Layout Entrance,13.0115,77.5512,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.007050344683517861,2.0,1.0,0.0,1.1258243,1.2
HAL Old Airport,No Junction,12.9345,77.6905,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,0.5,1.0,1.2,1.2115346,1.2
Malleshwaram,"BTP182 - 19th Main Junction, Rajajinagar",12.9984,77.5508,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.005692500522247754,3.0,0.0,0.0,2.471673,2.4
Electronic City,No Junction,12.8421,77.6442,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.015893739990251374,0.5119768818327415,1.0,1.0,0.0,1.2025732,1.2
Rajajinagar,No Junction,13.0079,77.5268,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.03814149432490774,0.5119768818327415,2.0,0.0,0.0,2.0146458,1.0
Thalagattapura,No Junction,12.8716,77.539,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.0032379360768748696,0.5119768818327415,2.0,0.0,0.0,1.7473179,1.0
Adugodi,BTP140 - Madiwala Check Post,12.9339,77.6165,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.0157544739224288,0.0014100689367035721,1.0,0.0,0.0,1.1044629,1.9999999999999996
K.G. Halli,No Junction,13.0239,77.6196,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.0028375461318849663,0.5119768818327415,0.5,0.0,0.0,1.1043203,1.2
HSR Layout,No Junction,12.9113,77.6381,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.01568484088851751,0.5119768818327415,0.5,2.0,1.0,0.9721686,1.0
Wilson Garden,BTP122 - Siddapura Junction,12.9497,77.5929,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.013091010375322053,0.00047002297890119075,2.0,0.0,0.0,1.145674,1.0
Kamakshipalya,No Junction,12.9892,77.5004,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.005083211475523989,0.5119768818327415,2.0,0.0,0.0,1.3920156,1.9999999999999996
Malleshwaram,No Junction,13.0075,77.5712,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,2.0,1.2,0.0,1.1938343,1.0
City Market,BTP082 - KR Market Junction,12.9635,77.5775,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.03944711371074438,0.5,1.2,0.0,1.1882933,1.2
Upparpet,BTP058 - Subbanna Junction,12.979,77.5793,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.1027261332776269,0.017965322749112177,2.0,1.2,1.2,1.0489424,1.0
High ground,BTP054 - Shivananda Circle,12.9872,77.5825,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.00964417519671332,0.002576422254717638,4.0,1.0,0.0,2.4222546,2.2
Upparpet,BTP040 - Elite Junction,12.9761,77.5775,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.028967342107095607,1.5,3.0,0.0,2.7420514,3.0
Whitefield,No Junction,12.9857,77.7455,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.009296010027156883,0.5119768818327415,2.0,0.0,0.0,3.378779,5.0
Shivajinagar,BTP211 - Central Street Junction,12.9842,77.6033,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.08265441125269828,0.01808718055845693,1.0,1.2,2.0,1.1556275,1.0
Magadi Road,BTP074 - Leprosy Hospital Junction,12.9757,77.5605,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.026460552886289256,0.0038994498990321006,2.0,3.5999999999999996,2.4,2.1025414,3.599999999999999
Mico Layout,BTP130 - GD Mara Junction,12.9075,77.6007,0.0,1.0,0.7818314824680298,0.6234898018587336,0.007398509853074299,0.0028201378734071443,1.0,0.0,0.0,1.3180918,1.0
Malleshwaram,No Junction,13.0126,77.5546,0.49999999999999994,0.8660254037844387,0.0,1.0,0.08923473295731495,0.5119768818327415,1.0,1.0,0.0,1.1964484,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.983,77.6084,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.08265441125269828,0.04388621962258896,0.5,0.0,0.0,1.22988,1.2
Rajajinagar,BTP018 - Dhobi Ghat Junction,12.9875,77.55,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.03814149432490774,0.001584151521481791,3.0,0.0,0.0,3.7466114,3.599999999999999
Shivajinagar,BTP211 - Central Street Junction,12.9841,77.6034,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.08265441125269828,0.01808718055845693,1.0,1.0,5.6,1.318326,1.0
HSR Layout,No Junction,12.912,77.6444,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.01568484088851751,0.5119768818327415,4.0,8.4,4.8,4.203666,2.4
Byatarayanapura,No Junction,12.9496,77.5223,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.016433396003063854,0.5119768818327415,1.0,0.0,0.0,1.5880945,1.2
R.T. Nagar,No Junction,13.0264,77.5857,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.004508738945755867,0.5119768818327415,0.5,0.0,0.0,1.1239084,1.2
Cubbon Park,No Junction,12.9723,77.6055,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.010218647726481444,0.5119768818327415,2.0,0.0,0.0,1.1667132,1.0
HAL Old Airport,No Junction,12.9303,77.6856,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,1.0,1.2,1.0,1.1130543,1.0
HAL Old Airport,No Junction,12.9357,77.69,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,4.0,7.0,3.0,3.880196,1.9999999999999996
Madiwala,BTP137 - Madiwala Traffic PS Junction,12.9205,77.6208,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.00788594109045331,0.0029245874242740757,4.0,1.0,0.0,2.2644207,1.9999999999999996
Upparpet,BTP045 - Danvanthri Road Junction,12.9778,77.5754,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.1027261332776269,0.008477821878699256,1.0,1.2,2.0,1.2569354,1.2
Halasuru Gate,"BTP101 - Blood Bank Circle, KH Road",12.9593,77.5933,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.025520506928486873,0.00043520646194554697,2.0,0.0,0.0,1.4826806,1.0
J.P. Nagar,"BTP117 - 9th Cross, Kanakapura Road",12.9114,77.5732,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.005413968386602604,0.001305619385836641,3.0,0.0,0.0,2.828356,1.2
Basavanagudi,"BTP186 - 9th Cross, 4th Main, Jayanagar",12.9382,77.58,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.018417937469535548,0.0021586240512499128,2.0,1.0,0.0,1.234971,1.0
Devanahalli Airport,No Junction,13.245,77.7131,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.003290160852308335,0.5119768818327415,1.0,0.0,0.0,1.1152282,1.0
Peenya,No Junction,13.04,77.5187,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.003603509504909129,0.5119768818327415,0.5,1.0,0.0,1.9014381,2.5
City Market,BTP082 - KR Market Junction,12.9645,77.5768,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.06268713877863659,0.03944711371074438,1.0,1.0,1.2,1.3563012,1.0
HSR Layout,No Junction,12.9111,77.6382,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.01568484088851751,0.5119768818327415,0.5,1.0,1.0,1.0435469,1.0
Upparpet,BTP058 - Subbanna Junction,12.979,77.581,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.1027261332776269,0.017965322749112177,4.0,1.0,1.2,2.2745368,2.4
Shivajinagar,No Junction,12.9855,77.6053,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.08265441125269828,0.5119768818327415,1.0,0.0,0.0,1.367023,1.2
HAL Old Airport,No Junction,12.9341,77.6895,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,4.0,0.0,0.0,3.6621635,1.9999999999999996
Rajajinagar,BTP018 - Dhobi Ghat Junction,12.9879,77.5501,0.7071067811865475,0.7071067811865476,0.0,1.0,0.03814149432490774,0.001584151521481791,2.0,0.0,0.0,1.7176316,2.5
Malleshwaram,No Junction,13.0054,77.5709,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,4.0,0.0,0.0,2.4829316,3.4000000000000004
Shivajinagar,BTP171 - Indian Express (Balekundri),12.9842,77.5999,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.08265441125269828,0.0005222477543346564,3.0,0.0,0.0,2.6584895,2.4
Magadi Road,"BTP024 - NPS, Vijayanagar",12.9817,77.5488,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.026460552886289256,0.002576422254717638,2.0,0.0,0.0,1.2312163,1.0
HAL Old Airport,No Junction,12.9663,77.7183,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.063818675579695,0.5119768818327415,1.0,0.0,0.0,1.2403401,1.2
Basavanagudi,BTP109 - Dewan Madhava Rao Junction,12.9408,77.5712,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.018417937469535548,0.0018278671401712973,0.5,0.0,0.0,1.0839599,1.2
Upparpet,BTP044 - Sagar Theatre Junction,12.9732,77.5778,0.0,1.0,0.43388373911755823,-0.900968867902419,0.1027261332776269,0.03302346633242811,1.0,0.0,0.0,1.256098,1.2
Shivajinagar,BTP211 - Central Street Junction,12.9843,77.6033,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.08265441125269828,0.01808718055845693,1.0,1.2,1.2,1.1522553,1.2
Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.0032,77.5535,0.0,1.0,0.43388373911755823,-0.900968867902419,0.08923473295731495,0.00981825778149154,2.0,1.2,0.0,1.2164806,1.2
Mico Layout,No Junction,12.9256,77.6087,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.007398509853074299,0.5119768818327415,1.0,2.5,0.0,2.1184149,2.5
Shivajinagar,No Junction,12.9827,77.6118,0.49999999999999994,0.8660254037844387,0.0,1.0,0.08265441125269828,0.5119768818327415,8.0,1.2,1.2,4.962147,4.8
